"size";"datatype";"approach";"latency(us)";
16;"int8";"cpu";3.31;
16;"int8";"gpu";170.25;
16;"int16";"cpu";1.46;
16;"int16";"gpu";168.59;
16;"int32";"cpu";1.22;
16;"int32";"gpu";172.55;
16;"int64";"cpu";1.21;
16;"int64";"gpu";169.61;
16;"float32";"cpu";1.12;
16;"float32";"gpu";173.97;
16;"float64";"cpu";1.13;
16;"float64";"gpu";168.87;
32;"int8";"cpu";34.69;
32;"int8";"gpu";170.51;
32;"int16";"cpu";12.66;
32;"int16";"gpu";171;
32;"int32";"cpu";10.12;
32;"int32";"gpu";171.31;
32;"int64";"cpu";10.07;
32;"int64";"gpu";172.52;
32;"float32";"cpu";8.89;
32;"float32";"gpu";172.19;
32;"float64";"cpu";8.9;
32;"float64";"gpu";172.26;
64;"int8";"cpu";331.73;
64;"int8";"gpu";175.26;
64;"int16";"cpu";112.32;
64;"int16";"gpu";180.14;
64;"int32";"cpu";81.21;
64;"int32";"gpu";176.08;
64;"int64";"cpu";80.9;
64;"int64";"gpu";179.75;
64;"float32";"cpu";81.23;
64;"float32";"gpu";175.61;
64;"float64";"cpu";82.31;
64;"float64";"gpu";180.37;
128;"int8";"cpu";3053.63;
128;"int8";"gpu";185.01;
128;"int16";"cpu";994.75;
128;"int16";"gpu";188.72;
128;"int32";"cpu";674.39;
128;"int32";"gpu";195.88;
128;"int64";"cpu";821.84;
128;"int64";"gpu";201.63;
128;"float32";"cpu";801.62;
128;"float32";"gpu";195.93;
128;"float64";"cpu";878.76;
128;"float64";"gpu";202.82;
256;"int8";"cpu";26168.2;
256;"int8";"gpu";279.51;
256;"int16";"cpu";8916.39;
256;"int16";"gpu";221.55;
256;"int32";"cpu";7663.71;
256;"int32";"gpu";268.35;
256;"int64";"cpu";9016.43;
256;"int64";"gpu";351.36;
256;"float32";"cpu";7817.72;
256;"float32";"gpu";267.76;
256;"float64";"cpu";9002.54;
256;"float64";"gpu";352.94;
512;"int8";"cpu";220306;
512;"int8";"gpu";845.56;
512;"int16";"cpu";74979.1;
512;"int16";"gpu";546.78;
512;"int32";"cpu";72800.6;
512;"int32";"gpu";963.03;
512;"int64";"cpu";151103;
512;"int64";"gpu";1730.39;
512;"float32";"cpu";73246.7;
512;"float32";"gpu";960.47;
512;"float64";"cpu";147352;
512;"float64";"gpu";1734.14;
1024;"int8";"cpu";1.80369e+06;
1024;"int8";"gpu";5077.68;
1024;"int16";"cpu";653453;
1024;"int16";"gpu";3225.88;
1024;"int32";"cpu";1.23265e+06;
1024;"int32";"gpu";5234.65;
1024;"int64";"cpu";1.29935e+06;
1024;"int64";"gpu";10676.1;
1024;"float32";"cpu";1.22594e+06;
1024;"float32";"gpu";5245.05;
1024;"float64";"cpu";1.34984e+06;
1024;"float64";"gpu";10638.4;
