"size";"datatype";"approach";"latency(us)";
16;"int16";"gpu";207.92;
16;"half";"gpu";207.61;
16;"bf16";"gpu";212.48;
32;"int16";"gpu";216.01;
32;"half";"gpu";212.67;
32;"bf16";"gpu";214.63;
64;"int16";"gpu";221.71;
64;"half";"gpu";218.43;
64;"bf16";"gpu";220.4;
128;"int16";"gpu";235.17;
128;"half";"gpu";233.87;
128;"bf16";"gpu";236.38;
256;"int16";"gpu";258.25;
256;"half";"gpu";262.97;
256;"bf16";"gpu";297.74;
512;"int16";"gpu";565.3;
512;"half";"gpu";567.56;
512;"bf16";"gpu";684.56;
1024;"int16";"gpu";2980.73;
1024;"half";"gpu";2985.75;
1024;"bf16";"gpu";3935.87;
2048;"int16";"gpu";20283.7;
2048;"half";"gpu";20420.5;
2048;"bf16";"gpu";28373.5;
4096;"int16";"gpu";318068;
4096;"half";"gpu";329044;
4096;"bf16";"gpu";374303;
