"size";"datatype";"approach";"latency(us)";
16;"int16";"gpu";172.64;
16;"half";"gpu";173.65;
16;"bf16";"gpu";175.82;
32;"int16";"gpu";171.46;
32;"half";"gpu";172.46;
32;"bf16";"gpu";172.4;
64;"int16";"gpu";172.64;
64;"half";"gpu";172.39;
64;"bf16";"gpu";174.19;
128;"int16";"gpu";179.7;
128;"half";"gpu";179.41;
128;"bf16";"gpu";185.91;
256;"int16";"gpu";202.44;
256;"half";"gpu";202.17;
256;"bf16";"gpu";235.55;
512;"int16";"gpu";342.11;
512;"half";"gpu";336.45;
512;"bf16";"gpu";571.56;
1024;"int16";"gpu";1518.97;
1024;"half";"gpu";1502.97;
1024;"bf16";"gpu";3309.44;
2048;"int16";"gpu";8961.23;
2048;"half";"gpu";8903.7;
2048;"bf16";"gpu";23329.5;
4096;"int16";"gpu";82895.9;
4096;"half";"gpu";82562.9;
4096;"bf16";"gpu";179932;
